epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1867.09,1.55742,0.99642,1.02525,0.78071,0.74565,0.73289,0.45711,1.59154,0.99934,1.02029,0.000660045,0.000660045,0.000660045
43,1913.62,1.56302,0.98915,1.02517,0.77095,0.73697,0.71828,0.44774,1.58456,1.00716,1.02049,0.000649046,0.000649046,0.000649046
44,1959.99,1.55483,0.97162,1.01853,0.76265,0.74839,0.71454,0.44739,1.58467,1.02578,1.02363,0.000638047,0.000638047,0.000638047
45,2003.84,1.54163,0.98473,1.02224,0.77451,0.74113,0.71806,0.45144,1.57565,1.00417,1.01849,0.000627048,0.000627048,0.000627048
46,2046.55,1.53383,0.97262,1.01867,0.76663,0.74479,0.71176,0.44838,1.57767,1.01925,1.01703,0.000616049,0.000616049,0.000616049
47,2089.81,1.55057,0.98412,1.02716,0.76153,0.73069,0.70343,0.44028,1.56734,1.03749,1.01911,0.000605051,0.000605051,0.000605051
48,2133.84,1.54075,0.97166,1.02106,0.77314,0.74803,0.72276,0.45239,1.55485,1.00547,1.01082,0.000594052,0.000594052,0.000594052
49,2177.92,1.52411,0.98006,1.01984,0.7782,0.73649,0.71647,0.45586,1.54752,1.0057,1.01121,0.000583053,0.000583053,0.000583053
50,2222.48,1.5164,0.949,1.01356,0.78807,0.73389,0.71711,0.45502,1.55321,0.99925,1.0093,0.000572054,0.000572054,0.000572054
51,2266.26,1.51362,0.94959,1.01439,0.77522,0.74074,0.71706,0.45372,1.55383,1.0029,1.01193,0.000561055,0.000561055,0.000561055
52,2309.79,1.52504,0.95515,1.01355,0.77252,0.7503,0.71527,0.45267,1.56428,1.00429,1.01294,0.000550056,0.000550056,0.000550056
53,2353.21,1.51381,0.93721,1.0086,0.76223,0.75006,0.72098,0.44965,1.55099,0.99794,1.0098,0.000539057,0.000539057,0.000539057
54,2398.78,1.50558,0.94064,1.00989,0.77624,0.75738,0.72959,0.45967,1.55363,0.9913,1.00942,0.000528058,0.000528058,0.000528058
55,2442.56,1.5046,0.93185,1.00696,0.77184,0.73957,0.71834,0.45324,1.53943,0.99095,1.01055,0.000517059,0.000517059,0.000517059
