epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,652.451,2.53613,1.96598,1.3943,0.61177,0.50022,0.43181,0.24179,2.31907,1.70354,1.25108,0.000367779,0.000367779,0.000367779
2,1646.21,2.2292,1.51286,1.23553,0.65668,0.56543,0.50153,0.26729,2.20477,1.4384,1.24165,0.000730805,0.000730805,0.000730805
3,2290.86,2.16726,1.46209,1.22153,0.68108,0.552,0.53519,0.30094,2.20476,1.49361,1.23011,0.0010865,0.0010865,0.0010865
4,2697.83,2.13508,1.44228,1.20548,0.69787,0.61829,0.56591,0.31759,2.07667,1.37879,1.17248,0.001078,0.001078,0.001078
5,3409.71,2.07735,1.36822,1.17984,0.70325,0.64071,0.58577,0.32736,2.04669,1.32084,1.17756,0.001067,0.001067,0.001067
6,4113.06,2.05336,1.36591,1.17871,0.71207,0.64964,0.60336,0.34418,1.97582,1.29124,1.14299,0.00105601,0.00105601,0.00105601
7,4676.73,2.01596,1.3491,1.16694,0.71857,0.6735,0.63013,0.35188,1.96386,1.24323,1.12839,0.00104501,0.00104501,0.00104501
8,5449.02,1.99685,1.3333,1.15278,0.6993,0.65308,0.62093,0.35702,1.9474,1.25785,1.12825,0.00103401,0.00103401,0.00103401
9,5934.61,1.95845,1.30813,1.15397,0.74291,0.68438,0.64562,0.36641,1.9317,1.18933,1.11927,0.00102301,0.00102301,0.00102301
10,6668.3,1.94124,1.27363,1.13563,0.73862,0.6874,0.6377,0.36787,1.90371,1.20404,1.10935,0.00101201,0.00101201,0.00101201
11,7247.18,1.91951,1.27978,1.13797,0.72437,0.69555,0.66212,0.37396,1.90281,1.19729,1.11582,0.00100101,0.00100101,0.00100101
12,7876.31,1.89107,1.26627,1.12846,0.76065,0.70447,0.67404,0.39015,1.85543,1.16033,1.10485,0.000990012,0.000990012,0.000990012
13,8606.87,1.86148,1.22948,1.11148,0.73787,0.70247,0.65923,0.38288,1.85098,1.16598,1.1041,0.000979013,0.000979013,0.000979013
14,9328.67,1.83638,1.23616,1.11633,0.74865,0.70086,0.6727,0.39154,1.84257,1.16732,1.08942,0.000968014,0.000968014,0.000968014
15,9998.25,1.82371,1.22003,1.10955,0.75445,0.71498,0.66729,0.3966,1.77846,1.1414,1.07569,0.000957015,0.000957015,0.000957015
16,10784.3,1.80895,1.20644,1.1019,0.76152,0.70424,0.67244,0.39282,1.77935,1.1514,1.07623,0.000946016,0.000946016,0.000946016
17,11389.8,1.79172,1.19325,1.09681,0.76298,0.70902,0.69098,0.41518,1.74094,1.10249,1.07317,0.000935018,0.000935018,0.000935018
18,12240.2,1.76927,1.17292,1.09117,0.75959,0.71706,0.68844,0.41717,1.69881,1.09375,1.05277,0.000924019,0.000924019,0.000924019
19,12841.8,1.75112,1.16098,1.0858,0.78012,0.72386,0.68858,0.41663,1.71536,1.07584,1.05214,0.00091302,0.00091302,0.00091302
